,activation,learning_rate,max_iters,population,mutation,decay_rates,max_attempts,clip,y_train_roc,y_test_roc,runtime,loss
64,relu,10,100,500,0.1,0.92,10,10,0.5980952380952381,0.6166666666666667,281.9856827259064,20.821948055217582
65,relu,10,100,600,0.1,0.92,10,10,0.5804761904761905,0.5677777777777778,496.09068965911865,21.734758574225935
66,relu,10,100,700,0.1,0.92,10,10,0.5785714285714286,0.5766666666666667,380.6189570426941,21.83344079249711
67,relu,10,100,800,0.1,0.92,10,10,0.5766666666666667,0.5677777777777778,184.22559809684753,21.932123010768287
68,relu,10,100,900,0.1,0.92,10,10,0.5871428571428572,0.591111111111111,676.3247129917145,21.38937081027683
69,relu,10,100,1000,0.1,0.92,10,10,0.5804761904761905,0.5744444444444444,527.3170695304871,21.734758574225935
70,relu,10,100,100,0.1,0.92,50,10,0.5766666666666667,0.5544444444444444,163.94552278518677,21.932123010768287
71,relu,10,100,200,0.1,0.92,50,10,0.57,0.5655555555555556,288.1050887107849,22.277510774717392
72,relu,10,100,300,0.1,0.92,50,10,0.5795238095238094,0.5566666666666666,327.6999969482422,21.78409968336152
73,relu,10,100,400,0.1,0.92,50,10,0.5876190476190477,0.5877777777777778,799.1514558792114,21.364700255709035
74,relu,10,100,500,0.1,0.92,50,10,0.5980952380952381,0.6166666666666667,692.0222570896149,20.821948055217582
75,relu,10,100,600,0.1,0.92,50,10,0.5804761904761905,0.5677777777777778,983.5271050930023,21.734758574225935
76,relu,10,100,700,0.1,0.92,50,10,0.5838095238095239,0.5633333333333334,1419.6258473396301,21.562064692251386
